	msms_score	matched_peaks	feature_id	reference_id	short_inchikey
0	0.8147248439366883	7	17	106411	IEVJVQXLBZUEMH
1	0.280460519254123	7	33	257893	XTWNUAXLOAEBOC
2	0.4599935850393602	12	38	17075	CSLHHTJTXNNRSR
3	0.2688870812176126	15	38	49163	VSXDPQGEFUUZBK
4	0.3586101293939256	8	38	68717	ZCBQZDMJIVJQLX
5	0.24287511802525202	11	38	80639	SRAALVPFSJSJTL
6	0.2852680387604212	13	38	142547	XHWPZABMNVJLTL
7	0.30845662995692164	11	38	160167	TVFJNQQJLLVFGO
8	0.35944543074446916	8	38	170066	SWUWGVKRMOEGEN
9	0.2446680314080139	9	38	188472	XNSWLALPMYBULY
10	0.3040634817294416	9	38	193010	RJBDPQXGKZZTDM
11	0.7521258424913518	8	75	102009	UWNBABFZOWPLEC
12	0.7761997296332244	8	75	284621	PCEJMSIIDXUDSN
13	0.44582192530682047	7	89	143472	XWVUEJSMSQIMGN
14	0.5389006970045441	7	89	257218	RMTXCTHJOJRMCZ
15	0.33090033010361686	9	95	73149	OBBGOBVJGCAAOZ
16	0.7649961727937173	11	95	155780	ODKSFYDXXFIFQN
17	0.4449150515215056	8	95	200991	GFAXSDSHYATBAW
18	0.234266484506542	8	100	132397	VQOYYSNJUPELGM
19	0.48311608874619116	7	100	143908	NAHFQFLYAGOHFW
20	0.6722425042695003	11	100	172174	JEZNLIICYHTXFL
21	0.6140701113715406	7	104	131555	DCXYFEDJOCDNAF
22	0.5257018016575326	11	115	125083	SSXOEAHANHUFRO
23	0.221399169258493	8	115	139225	QPENGVPAWUAJDV
24	0.402534129001907	12	115	155976	KIIBBJKLKFTNQO
25	0.5521697538058027	13	115	250878	CEVQXWMPODOBRM
26	0.6101442524572982	10	118	45484	WJGYUTHBDPPYCA
27	0.6731767798116733	13	118	195579	RHGKLRLOHDJJDR
28	0.20876326326373848	12	118	196736	BMFMQGXDDJALKQ
29	0.5130818609790312	14	122	258933	XXAXVMUWHZHZMJ
30	0.25603361896983834	9	127	47100	PNIWLNAGKUGXDO
31	0.20288118372667308	11	127	197922	GXKCUFUYTFWGNK
32	0.41444714454081394	7	130	46990	NJBPQOAHJORLDU
33	0.51961503877615	7	130	201450	QYANNJBVADZUDN
34	0.43494756229395715	7	130	241296	GCQHUBANENYTLB
35	0.657201226067012	7	130	278663	AYHRPPUJKHBJEE
36	0.22163984151094837	12	133	8183	SGFRTCOTCWGGHB
37	0.6272136447088047	13	133	11651	OINCELAOJGBMQV
38	0.45484497084220904	8	133	18091	SCCQCCCXSLYFHJ
39	0.6976586111957468	12	133	29111	RJKBJEZZABBYBA
40	0.2485874902737963	12	133	52380	JEDHRDQRQUAZDW
41	0.3826035520545493	14	133	63232	ASHXMQKUZGLXMR
42	0.6391826349764537	11	133	71172	QXQNRSUOYNMXDL
43	0.6255666037513741	13	133	75098	INPMHIFYFJYIKV
44	0.5325511486758021	12	133	83457	QDIJCXQNFONUPZ
45	0.7027418397589933	15	133	112067	TVTGZVYLUHVBAJ
46	0.4160444388499705	12	133	127195	PFYHYHZGDNWFIF
47	0.2967357141726453	12	133	188599	NTBYIQWZAVDRHA
48	0.48064075333891876	16	133	213233	SNDZDGQLFKEBLF
49	0.3945342494714328	13	133	234834	HGJWTABGNGOSDZ
50	0.467928025404269	12	133	288255	LXBIFEVIBLOUGU
51	0.47446574813936543	11	137	43752	QGILFERGBZSEHB
52	0.42482928626257194	10	137	57691	RJGBSYZFOCAGQY
