"samples"	"PC1"	"PC2"	"PC3"
"20250402_PMA_tp24_000037_01_01.mzML"	-0.266236898842934	-0.0479420469622772	0.331791459144437
"20250402_PMA_tp24_000038_01_02.mzML"	0.660770348571617	-0.150336626011972	0.221344761683638
"20250402_PMA_tp24_000039_01_01.mzML"	-0.30550399459327	-0.268180563400464	-0.0578621522632055
"20250402_PMA_tp24_000040_01_01.mzML"	-0.217429997260049	0.0364049613119596	0.0268093931223303
"20250402_PMA_tp24_000042_01_01.mzML"	-0.0813002078944321	-0.266154355490073	-0.143399870221741
"20250402_PMA_tp24_000043_01_01.mzML"	0.15373460089994	0.088822291315525	-0.336872603650948
"20250402_PMA_tp24_000044_01_01.mzML"	0.151381241545598	0.142707548783587	-0.13626515951928
"20250402_PMA_tp24_000046_01_01.mzML"	-0.0954150924264701	0.464678790453715	0.0944541717047679
