"features"	"PC1"	"PC2"	"PC3"
1	-0.0148885578643617	0.0132887246547832	-0.00618581255977121
10	0.0404008174242661	-0.0107549059898427	0.0187403632313447
100	-0.0104287095973378	0.00381886377960392	-0.0294844120876093
1000	-0.021682817837519	-0.0306907755366138	-0.00505255690590902
1001	-0.015039860846157	-0.0102926303483253	-0.0347515681605705
1002	-0.0216573950275637	-0.0252989802999853	-0.00450671984107317
1003	0.0117761476290251	-0.00747505246280505	0.00407071349266803
1004	-0.0056847622620013	-0.029902610880405	-0.00123899640946348
1005	-0.00598831844350758	-0.0274835042533883	-0.00363371237469908
1006	-0.010571725172637	-0.0218388400533687	-0.0135466724417348
1007	-0.00297589123070577	-0.0268680594131207	0.0047801924049565
1008	-0.0210832500733853	-0.030508954231831	0.00165440819613328
1009	-0.00478314199702996	-0.0166798101466694	0.0146500213683065
101	-0.0126466675680725	0.00509406998121257	-0.0183651012765758
1010	-0.0201747363927432	0.00817658909044074	0.015596459736874
1011	-0.0188441891196956	-0.0229852645638777	-0.00115942735251372
1012	0.0106063460153945	-0.00673700536985764	0.0092459070376168
1013	-0.0195906653001884	-0.0241794380773196	-0.000445758066757247
1014	-0.0114061559410902	-0.0298149599630715	0.000766618870157016
1015	0.0178028765703968	-0.0108343876070584	0.00889636739559156
1016	0.0166139729972477	-0.0121329401517512	0.00402796016347371
1017	0.0158207647757956	-0.0116239234849351	0.00396131849760246
1018	0.0377870918593433	0.0139257849129732	0.00494111059260785
1019	0.0179083541648967	0.00219981446711407	-0.0109114786484847
102	-0.0230717458277723	0.0226847074168451	0.00267294363166605
1020	0.0177867186610684	0.000481990581838061	-0.0119189493817178
1021	0.0102485513396079	-0.00815338622439955	-0.01422363072853
1022	-0.00588312886510369	-0.0142310984310885	-0.0149173408506026
1023	-0.000767384417085325	-0.0257907899515758	-0.0173402519935819
1024	-0.0186959870880293	-0.0274057834029088	-0.000210607042695415
1025	-0.0141227849093053	-0.0287507164980971	-0.000673252480732707
1026	-0.0303605102968143	0.00846658474910738	0.0175245558823087
1027	-0.0190673555821639	0.0194127883431318	0.0300757011573393
1028	-0.0237156048022779	-0.0149748480059163	0.00866128498755814
1029	-0.0278997944350523	-0.0187917806637684	0.00969902626022556
103	0.000371481822697093	0.00635218616334592	-0.0349728708733974
1030	0.0346675037356949	-0.0191686930888586	-0.00147147605856665
1031	0.0141575234262492	0.017395432241027	0.0249280888737664
1032	0.00531677808483766	0.000974241674889012	-0.0230124335524778
1033	-0.0103099657965744	0.017431668620834	-0.0259136466166776
1034	-0.0238580338354622	-0.0222255627226661	-0.00173207378041834
1035	-0.0231285707031663	-0.0238798870463661	-0.00308381412094943
1036	-0.0216668857252827	-0.00562997641866227	-0.0207112846992938
1037	-0.0208269483311979	-0.00355938714394759	-0.0222128402536716
1038	-0.000907888315573637	0.0126866006832647	-0.01495080151489
1039	0.0123219265900134	-0.000913911007921136	-0.00449731809526197
104	-0.0227144553444281	0.0226201273722198	-0.0101017854585345
1040	-0.0223679921125851	-0.0315970454500699	-0.00478247280371768
1041	-0.020577547630413	-0.0311094797449682	0.000219698256424358
1042	-0.0199120242710326	-0.0299289948884699	0.00105204306224431
1043	-0.0242896331331973	0.0100077192851142	-0.000263574807811224
1044	-0.0212238297869923	-0.00747969459751256	-0.00981916483326556
1045	-0.0157999891345319	-0.00156604709702922	-0.00165029696770254
1046	-0.0164438340547735	0.00116813462491475	-0.00522799659143872
1047	-0.0153305175051182	-0.0131163000178839	-0.0307936504248581
1048	-0.0177944276904724	-0.0204448132674838	0.00385122039117565
1049	-0.01571885987361	-0.0120011687835077	-0.0245131203011233
105	-0.0242121320649069	0.0201644089594035	-0.0174701878948112
1050	0.00372097176113173	-0.0091926998183307	-0.00541134030627554
1051	-0.00594874691004401	0.0202921923772514	-0.0235100068169291
1052	0.0201671743714006	0.0155434736836977	0.00237552122204938
1053	-0.0126567291168067	0.00619318683981265	-0.0222602749336729
1054	-0.0246527488422317	0.00552593355740692	0.0105639270522382
1055	-0.00941245094313199	0.000909356668736894	-0.0145981193959887
1056	-0.0131555588565842	-0.00402722540616958	-0.00382555247440832
1057	-4.4380215973186e-05	0.00261758567252974	-0.012541323178656
1058	0.0090119220228482	0.0016922857314124	-0.0178201663986555
1059	-0.0145874960576662	-0.0067794025763335	-0.0208921260148186
106	0.00334931960623226	0.00590121804946743	-0.037725989731556
1060	-0.0231819766020914	0.0296343540604852	0.017838228857832
1061	-0.0154614556751858	-0.00640990628781402	-0.0188108134327173
1062	0.00146854604691092	-0.0012409981999486	-0.00687209372022156
1063	-0.0120970981392931	0.0199697121973497	0.0337684788075033
1064	0.0136322773167827	0.00475287615951115	-0.024603343350053
1065	0.000860275904092531	-0.0227224565846468	0.0116431164119569
1066	0.00419998495453949	-0.0140130253169489	-0.0264005684141446
1067	0.0093841388510022	-0.0308320917182251	-0.0130501526932397
1068	-0.016073683011931	-0.0152434647771599	0.00945983224476553
1069	-0.00462686534959508	0.0162587019063812	-0.0319016844294899
107	-0.021366031262131	0.0150638994463337	-0.0247361752551723
1070	-0.0221685158403136	0.0273413911528835	0.00544841837615328
