formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C3H5Cl2O3	[M - H2O + H]+	C3H4Cl2O2+	1.000	0.042	20.922	19.116	1.807	2	0.399	4.339	4.339	-126868.471		141.959	21	0.351	707666773833821623	707666497924101026	59	
1	C3H5Cl2O3	[M + H]+	C3H6Cl2O3+	0.999	0.450	82.542	80.627	1.915	12	0.741	4.198	4.198	3.120		159.969	21	0.351	707666751817918565	707666497974432678	60	
1	C2H4BNO4	[M + K]+	C2H4BKNO4+	0.973	0.746	14.686	14.686	0.000	3	0.604	1.406	1.924	1.757		154.990	21	0.352	707666714023043242	707666497555002234	49	
1	C7H7AsN2O6	[M + K]+	C7H7AsKN2O6+	0.982	0.785	31.841	31.841	0.000	18	0.534	0.236	0.357	0.318		328.915	21	0.352	707666735183307957	707666497487893362	47	
1	C5H8Cl2NO3	[M - H2O + H]+	C5H7Cl2NO2+	0.567	0.333	57.279	54.500	2.779	9	0.759	4.452	4.452	-98423.633		182.985	21	0.353	707666717965689188	707666498070901678	62	
1	C2H4Cl2O3	[M - H2O + H]+	C2H3Cl2O2+	1.000	0.187	0.201	0.201	0.000	0	0.000	3.380	3.380	-139665.301		128.951	21	0.353	707666754250614987	707666497844409242	57	
1	C3H6Cl2O4	[M - H2O + H]+	C3H5Cl2O3+	0.988	0.481	68.556	68.556	0.000	10	0.596	4.584	4.584	-113297.813		158.962	21	0.353	707666755445991686	707666498263839678	66	
1	CH5ClFNO3P	[M + Na]+	CH5ClFNNaO3P+	1.000	1.000	114.470	114.470	0.000	26	0.476	3.872	4.060	-3.537		186.957	21	0.355	707666768586746913	707666498309977026	67	
1	C2H3NO2PS3	[M - H2O + H]+	C2H2NOPS3+	0.280	0.093	-1.911	-1.911	0.000	1	0.006	-3.243	3.243	-98472.887		182.903	21	0.355	707666728879268708	707666496577729314	27	
1	C3H6Cl3NO5	[M - H2O + H]+	C3H5Cl3NO4+	0.415	0.000	15.389	15.389	0.000	5	0.095	3.733	3.733	-80424.886		223.929	21	0.355	707666744163313432	707666496384791318	24	
1	CH6AsFNO7	[M + K]+	CH6AsFKNO7+	1.000	1.000	76.681	76.681	0.000	18	0.387	0.121	0.364	-2.652		276.897	21	0.356	707666737842496948	707666498393863114	69	
1	C4H5NO4S	[M + Na]+	C4H5NNaO4S+	0.631	0.899	69.041	69.041	0.000	14	0.653	4.634	4.634	2.531		185.984	21	0.356	707666767332649951	707666496338653970	23	
1	C3H3FeNO2	[M + H]+	C3H4FeNO2+	0.835	0.333	53.490	46.721	6.769	6	0.416	5.892	5.892	1.748		139.964	21	0.356	707666761250908800	707666497877963678	58	
1	C5H9Cl2NO4	[M - H2O + H]+	C5H8Cl2NO3+	0.718	0.333	119.528	119.528	0.000	21	0.613	3.980	4.179	-90055.720		199.988	21	0.356	707666760810506842	707666498356114374	68	
1	C5H6FeN2O2	[M + H]+	C5H7FeN2O2+	0.709	0.333	42.506	35.475	7.031	14	0.787	2.196	2.196	1.523		180.990	21	0.356	707666751763392598	707666498024764330	61	
1	C2H7Cl2N3O2	[M - H2O + H]+	C2H6Cl2N3O+	0.437	0.324	27.648	27.648	0.000	5	0.184	6.214	6.214	-113992.513		157.989	21	0.356	707666744649852773	707666496258962186	21	
1	C4H10Cl2FN2O3	[M + H]+	C4H11Cl2FN2O3+	0.986	0.408	48.978	46.782	2.196	9	0.879	3.137	3.137	-3.112		224.012	21	0.358	707666766950968271	707666497588556670	50	
1	C2H2ClFN2O2	[M + Na]+	C2H2ClFN2NaO2+	1.000	1.000	105.747	105.747	0.000	22	0.456	0.400	4.685	-2.294		162.968	22	0.358	707666757916436919	707666496300905230	22	
1	C5H4AsNO6	[M + K]+	C5H4AsKNO6+	1.000	0.999	60.992	59.145	1.847	13	0.558	0.256	0.381	0.221		287.889	22	0.359	707666766170827661	707666497768911762	55	
1	C3H8FN3O3S2	[M - H2O + H]+	C3H7FN3O2S2+	0.465	0.330	24.400	24.400	0.000	9	0.137	2.883	3.714	-90052.595		199.996	22	0.360	707666760214915635	707666496464483102	26	
1	C2H4Cl2O2	[M + H]+	C2H5Cl2O2+	1.000	0.273	10.251	10.251	0.000	2	0.014	4.813	4.813	4.191		130.967	22	0.361	707666753231399065	707666498213508026	65	
1	C4H7NO3P2	[M + K]+	C4H7KNO3P2+	0.902	0.896	6.600	6.600	0.000	6	0.039	2.202	3.241	-6.352		217.952	22	0.361	707666757333428583	707666496422540058	25	
1	C4H9Cl2NO3	[M - H2O + H]+	C4H8Cl2NO2+	0.919	0.333	55.296	55.296	0.000	10	0.322	4.093	4.136	-104714.037		171.993	22	0.363	707666734759683219	707666498167370678	64	
1	C4H7Cl2NO	[M - H2O + H]+	C4H6Cl2N+	1.000	0.008	5.244	5.244	0.000	1	0.018	1.392	1.392	-130520.931		137.987	22	0.363	707666740644292151	707666497127183178	37	
1	C2H5N2O3	[M + Na]+	C2H5N2NaO3+	1.000	1.000	56.023	56.023	0.000	7	0.525	8.240	8.240	2.674		128.020	22	0.363	707666747262904279	707666496934245178	33	
1	C4H3BrO6	[M + Na]+	C4H3BrNaO6+	1.000	1.000	83.103	81.237	1.867	12	0.644	-1.285	1.301	0.600		248.901	22	0.363	707666748080793572	707666497232040790	40	
1	C4H6N3O2	[M + Na]+	C4H6N3NaO2+	0.995	0.971	41.678	41.678	0.000	7	0.595	7.925	7.925	1.707		151.035	22	0.364	707666715650433305	707666496812610354	31	
1	C5H10Cl2N2O	[M - H2O + H]+	C5H9Cl2N2+	0.515	0.332	21.055	18.668	2.387	2	0.948	-6.323	6.323	-107843.470		167.013	22	0.364	707666723967738445	707666496875524918	32	
1	C5H5NO4S4	[M + H]+	C5H6NO4S4+	0.728	0.286	54.455	54.455	0.000	12	0.568	-5.256	5.256	-3.560		271.916	22	0.364	707666735581766855	707666496992965438	34	
1	C3H7Cl2NO	[M + H]+	C3H8Cl2NO+	0.959	0.500	40.939	39.080	1.860	6	0.734	-4.853	4.853	-5.039		143.997	22	0.364	707666740447159829	707666496762278702	30	
1	C3H7Cl2NO	[M - H2O + H]+	C3H6Cl2N+	0.531	0.333	18.394	16.288	2.106	2	0.774	-4.819	4.819	-142961.621		125.987	22	0.364	707666752883271815	707666496707752746	29	
1	C5H8BrFN2O6	[M + Na]+	C5H8BrFN2NaO6+	1.000	1.000	39.880	38.082	1.798	19	0.769	-1.027	1.117	-3.601		312.943	22	0.364	707666755030755574	707666497051685698	35	
1	C4H4ClN3	[M + H]+	C4H5ClN3+	0.154	0.137	0.391	0.391	0.000	0	0.000			2.144		130.017	22	0.364	707666718867464562	707666497085240134	36	
1	C3H6Cl2O4	[M + H]+	C3H7Cl2O4+	1.000	0.004	46.750	46.750	0.000	6	0.420	4.820	4.820	4.094		176.972	22	0.365	707666773536025971	707666498469360594	71	
1	C4H6BrF2NO3	[M + Na]+	C4H6BrF2NNaO3+	1.000	1.000	46.704	46.704	0.000	12	0.357	3.750	3.750	-2.197		255.939	22	0.365	707666761653562000	707666497269789530	41	
1	C4HBrO5	[M + Na]+	C4HBrNaO5+	1.000	1.000	30.151	27.959	2.193	4	0.252	-0.953	0.953	-0.026		230.890	22	0.365	707666770620984548	707666497194292050	39	
1	C7H7BrFNO3	[M + Na]+	C7H7BrFNNaO3+	0.865	0.298	64.282	64.282	0.000	15	0.673	3.249	3.249	3.270		273.949	22	0.365	707666772906880324	707666497303343966	42	
1	C5H6AsNO7	[M + K]+	C5H6AsKNO7+	1.000	1.000	48.777	46.479	2.298	18	0.834	0.029	0.303	1.435		305.900	22	0.366	707666732985492488	707666497412395882	45	
1	C3H8AsFN2O6	[M + K]+	C3H8AsFKN2O6+	1.000	0.751	25.545	25.545	0.000	16	0.758	0.194	0.332	-2.439		300.921	22	0.366	707666734092788793	707666497378841446	44	
1	C7H10Br2Cl5NO4	[M + H]+	C7H11Br2Cl5NO4+	0.482	0.486	34.997	34.997	0.000	15	0.709	-1.518	1.616	0.204		505.749	22	0.366	707666737662141821	707666497521447798	48	
1	C5H9BrClFN2O4S	[M + H]+	C5H10BrClFN2O4S+	0.897	0.328	30.085	29.227	0.858	18	0.814	-0.881	0.881	-3.035		326.920	22	0.366	707666743605470965	707666497450144622	46	
1	C6H9BrF2N2O3	[M + Na]+	C6H9BrF2N2NaO3+	0.591	0.558	24.432	24.432	0.000	14	0.761	3.376	3.376	-0.341		296.966	22	0.366	707666776979549864	707666497341092706	43	
1	C4O3S4	[M + Na]+	C4NaO3S4+	1.000	1.000	27.659	25.419	2.240	3	0.223	-0.654	0.654	-0.561		246.862	22	0.366	707666747069966281	707666497622111106	51	
1	C3H3AsO7	[M + K]+	C3H3AsKO7+	1.000	1.000	59.222	59.222	0.000	14	0.728	0.078	0.119	1.465		264.873	22	0.366	707666750937114696	707666497697608586	53	
1	C3H6BrClFNO4S	[M + H]+	C3H7BrClFNO4S+	0.882	0.500	68.176	67.898	0.278	20	0.589	-0.835	0.896	-3.649		285.894	22	0.366	707666759451552265	707666497731163022	54	
1	C4H4AsNO5	[M + K]+	C4H4AsKNO5+	1.000	0.983	28.907	26.640	2.267	7	0.394	-0.349	0.581	1.455		259.894	22	0.366	707666765579430784	707666497659859846	52	
1	C3H4Br2FNO6S	[M + H]+	C3H5Br2FNO6S+	0.560	0.333	104.213	104.213	0.000	26	0.729	4.294	4.294	1.037		359.819	22	0.366	707666768695798846	707666497802466198	56	
1	C8H8BrN2O2PS	[M - H2O + H]+	C8H7BrN2OPS+	0.482	0.252	16.038	16.038	0.000	6	0.917	-1.363	2.896	-62338.214		288.919	22	0.371	707666760143612444	707666498423223246	70	
1	C4H7Cl3O2Si	[M + H]+	C4H8Cl3O2Si+	0.221	0.213	9.538	9.538	0.000	1	0.840	4.630	4.630	-0.659		220.935	22	0.375	707666751868250229	707666498536469466	73	
1	C5H11N3	[M + H3N + H]+	C5H15N4+	0.998	0.333	47.825	44.384	3.441	5	0.623	4.865	7.335	1.961		131.129	23	0.376	707666729948816299	707666498502915030	72	
1	C6H11NO2	[M + H3N + H]+	C6H15N2O2+	0.978	0.333	10.964	10.964	0.000	1	0.059	1.380	1.380	1.331		147.113	23	0.378	707666720620683743	707666498565829598	74	
1	C5H9NO2	[M + H3N + H]+	C5H13N2O2+	0.983	0.333	25.882	25.882	0.000	4	0.007	2.299	9.118	1.735		133.097	23	0.378	707666716619317570	707666498599384034	75	
1	C6H7N3O2S	[M + K]+	C6H7KN3O2S+	1.000	1.000	90.292	90.292	0.000	18	0.394	-2.782	3.064	-1.275		223.989	23	0.382	707666772978183512	707666499937367186	119	
1	CH4Cl2N2O3	[M - H2O + H]+	CH3Cl2N2O2+	0.761	0.493	29.087	29.087	0.000	5	0.386	5.688	5.688	-124241.373		144.957	23	0.385	707666739104982504	707666498691658734	78	
1	C5H6BrCl2FO4	[M + K]+	C5H6BrCl2FKO4+	0.621	0.034	10.727	10.727	0.000	8	0.106	3.530	3.530	-1.744		336.844	23	0.386	707666762513394368	707666498968482834	87	
1	C5H11BrN3O2S	[M + K]+	C5H11BrKN3O2S+	0.985	0.982	57.658	57.658	0.000	21	0.369	-1.856	2.663	2.720		294.939	23	0.386	707666777466089158	707666498834265090	83	
