"feature_id"	"feature"	"VIP"	"LV1"	"LV2"
6	"NA_[6_139.98_0.3]"	1.74114748059108	-0.0315322721652482	0.0171823355290824
1939	"NA_[1939_650.38_8.6]"	1.72409004508178	-0.0311715547291432	0.0166858260499999
2421	"NA_[2421_130.16_10.6]"	1.70161077035147	-0.0307054493428592	0.0182948731817512
1130	"NA_[1130_293.18_6]"	1.69613064983914	-0.030624178791745	0.0167057400152755
458	"NA_[458_324.23_2.4]"	1.64849455897782	-0.0302381981420543	0.00636108534966126
2777	"NA_[2777_153.11_11.7]"	1.63803027869834	-0.0279106046837529	0.00924581640790641
1932	"NA_[1932_694.41_8.6]"	1.62133197016992	-0.030961368342035	0.0405261618360419
2005	"NA_[2005_474.28_8.7]"	1.62003460192708	-0.0309438405555313	0.028682611014272
1798	"NA_[1798_590.43_8.3]"	1.60255482562723	-0.0308432453527816	0.0263531973923628
242	"NA_[242_139.98_0.8]"	1.60058326813221	-0.0315652826200324	-0.0096159355253303
1923	"NA_[1923_738.43_8.6]"	1.60036116441409	-0.030774929224565	0.027582297311036
1788	"NA_[1788_678.48_8.2]"	1.5990294996875	-0.0307485933632588	0.0270566714078021
2008	"NA_[2008_277.15_8.7]"	1.59793165538005	-0.0304773312116508	0.0285458059159024
2486	"NA_[2486_130.15_10.8]"	1.59444470752445	-0.0286462416127598	0.0143292063664764
1117	"NA_[1117_255.12_6]"	1.59348606996746	-0.0304712826218278	0.0273170343698028
1734	"NA_[1734_156.99_8.1]"	1.59206168954316	-0.0295685347648399	-0.0045360335900813
1884	"NA_[1884_424.37_8.5]"	1.58989555683766	-0.0303582622453287	0.0255740551690357
1226	"NA_[1226_265.18_6.4]"	1.58834278142882	-0.0307437256590571	0.0277977489032888
1801	"NA_[1801_546.4_8.3]"	1.58650490846976	-0.0306623634992476	0.0251351712956744
1188	"NA_[1188_256.23_6.3]"	1.58433922628034	-0.030394759633893	0.0277197749956969
1116	"NA_[1116_237.11_6]"	1.58405982018553	-0.0302610720488346	0.0282847468520355
1500	"NA_[1500_249.19_7.3]"	1.58131851514029	-0.0304681965396698	0.0236555841946143
1115	"NA_[1115_209.12_6]"	1.58004687737379	-0.0301473557753475	0.0287508161805876
1550	"NA_[1550_474.21_7.5]"	1.57767766022529	-0.0303777165487212	0.027154757056096
1780	"NA_[1780_722.51_8.2]"	1.57744215585423	-0.0303015905697615	0.0262806212590332
2693	"NA_[2693_130.15_11.4]"	1.57476418824497	-0.0314854399159281	-0.0146710165839098
2263	"NA_[2263_181.02_10]"	1.57382017213585	-0.030396781441631	-0.00250155975995702
2463	"NA_[2463_565.57_10.7]"	1.57222675698206	-0.030191437704628	0.0364226279991679
2009	"NA_[2009_430.25_8.7]"	1.5701793198845	-0.0300834269430066	0.0285746446157951
1786	"NA_[1786_314.34_8.2]"	1.56785997400867	-0.030115750152048	0.0240428825814342
1118	"NA_[1118_311.19_6]"	1.56485903002451	-0.0297788012525242	0.0286898200479312
1840	"NA_[1840_644.5_8.4]"	1.55978923944207	-0.0301981389493388	0.0261060774478296
258	"NA_[258_236.94_0.9]"	1.55929124317981	-0.0310747448273781	-0.00787157455810833
2243	"NA_[2243_130.16_9.9]"	1.55753801315716	-0.0302206527567142	0.0364485531910978
1221	"NA_[1221_268.23_6.4]"	1.55653240349029	-0.0298062085198728	0.0241343114915816
1956	"NA_[1956_637.5_8.7]"	1.55381073741143	-0.0298497781733923	0.0222544108052926
1093	"NA_[1093_237.19_5.9]"	1.55318877841873	-0.0294937906791528	0.0287838817499229
2751	"NA_[2751_151.1_11.6]"	1.55217014576972	-0.0289988397980077	-0.00185691731697263
1236	"NA_[1236_395.36_6.5]"	1.55049697408094	-0.029468242695913	0.0284507574710288
1601	"NA_[1601_399.25_7.7]"	1.55012333549554	-0.0293979581288828	0.0289214306321253
864	"NA_[864_139.98_4.6]"	1.54936637836196	-0.0282891983636101	0.00702349472030585
1546	"NA_[1546_494.16_7.5]"	1.54673369673748	-0.0296566861260926	0.0281948334120882
2042	"NA_[2042_746.57_8.9]"	1.54360512830178	-0.0296141855633403	0.0272329653243999
1992	"NA_[1992_518.3_8.7]"	1.54122049816393	-0.0295084471181926	0.0277896444152349
2007	"NA_[2007_233.12_8.7]"	1.5410652192168	-0.029672603599654	0.0256745374057433
2840	"NA_[2840_130.15_11.8]"	1.54060078938467	-0.0314839625217429	0.00850359743809697
1369	"NA_[1369_227.98_7]"	1.54054622740702	-0.0297095682693983	0.0254293776684364
1794	"NA_[1794_634.46_8.2]"	1.54017309553738	-0.0297056451846062	0.0261810708184271
2264	"NA_[2264_226.01_10]"	1.53860358492709	-0.0306076582911131	0.0158867943772611
1832	"NA_[1832_732.55_8.4]"	1.53584238810169	-0.0299077973011412	0.0247018248266157
1473	"NA_[1473_458.18_7.3]"	1.53559135472398	-0.0294811829889721	0.0265729246064833
1179	"NA_[1179_209.15_6.3]"	1.53524279287855	-0.0295584489949819	0.0176436944683671
1237	"NA_[1237_417.35_6.5]"	1.53460588936596	-0.0290882465073385	0.0284674390198788
1975	"NA_[1975_280.27_8.7]"	1.53257047563855	-0.0295874266648896	0.0217263313263662
2397	"NA_[2397_568.48_10.5]"	1.53191033395878	-0.0304890285761386	0.01789911475066
1357	"NA_[1357_280.27_6.9]"	1.53123959470615	-0.0293117146125394	0.02477830173732
1836	"NA_[1836_688.52_8.4]"	1.53069317414635	-0.0292984557388355	0.0253026827102649
1454	"NA_[1454_299.31_7.2]"	1.5291356809927	-0.029418035419463	0.0257350123090857
