"features"	"PC1"	"PC2"	"PC3"
1	0.00274775305401857	0.000629301980433285	-0.00349002043963702
10	-0.000395684630584112	-0.000453523874187717	1.98796604863538e-05
100	0.0023094837432163	0.00347231701092405	-0.0041183855549559
1000	0.000783862342271997	0.000687200528190289	0.000680161557713916
1001	0.000271212215929918	0.000114364664718671	-0.000399169417178525
1002	0.000218739599252351	0.000229877682042498	0.000290982521275331
1003	0.000375582185936759	-0.000313112181978967	-0.00055316656608437
1004	0.000478963221775561	0.000527016064638486	0.000867224261995612
1005	8.69501940339989e-05	8.14424156458147e-05	6.58616060456773e-05
1006	0.000198940437187533	7.40020459076799e-05	-0.000275955845217401
1007	3.4915282447278e-05	3.94484188858898e-05	8.53192703221388e-05
1008	3.58894066819449e-05	3.98035985855243e-05	8.39366159620329e-05
1009	0.000223782285393798	3.69141626626e-05	-0.000212566505190158
101	0.00253397292581372	0.00245591931592713	0.000211077426876691
1010	0.00479436093168855	-0.000277669427528922	0.00499086122107636
1011	0.000258702836933263	0.000270827762973826	0.000363348447916002
1012	0.000479120374031167	-7.50897853453314e-05	-5.5830661504659e-05
1013	6.68810825904028e-05	7.52551234298148e-05	0.000105172208388957
1014	0.000151955003408271	6.02138407994938e-05	-0.000122267586217868
1015	0.000863714413288952	-0.000638140389926085	1.96095122229586e-05
1016	0.000476951637412578	-0.000246697901765664	-0.000167398540371785
1017	8.23507161026799e-05	-4.63585874480121e-05	-2.98158411645309e-05
1018	-2.81696825001935e-05	-0.000196189679884001	-0.000460327432249561
1019	0.000138182741176691	-8.52910368670092e-06	-0.000675463762081283
102	0.0165391161790099	0.00333900282786965	-0.00264864585441437
1020	0.00013566962512472	-8.92170176237215e-05	-0.000870813830972707
1021	8.15603966214574e-05	-1.78850828585108e-05	-0.000328194618607994
1022	0.000119370115848835	3.9671616639916e-05	-0.000149990845217579
1023	0.00014022249732283	6.9875698527739e-05	-0.000207282486693699
1024	0.000385929109169332	0.000391554564446932	0.000523075712477917
1025	0.000104113093192849	0.000119108595958408	0.000156902819355891
1026	0.000286245487712673	2.37857872584415e-05	2.80457612194391e-05
1027	0.000496071181437018	-0.000200107419309757	0.00029117677013764
1028	0.000120323680759257	4.14583643154941e-06	4.10588899029586e-05
1029	0.000293533817576886	1.9310354015306e-05	-2.24939797962956e-05
103	0.00164519005513057	0.00547921235820341	-0.0232793098495713
1030	4.99496060398544e-05	-5.38940897931439e-06	-9.75530288524661e-05
1031	0.000108227704997793	-0.000278498166919843	6.1997086067119e-05
1032	0.000215643260597502	-9.25595634783714e-05	-0.000623467880947507
1033	0.000222141344234666	0.000318940606664909	-0.000681826947621041
1034	0.000289067511107763	0.000155419996214864	9.84189960324354e-05
1035	0.000331188987263669	0.000210458259390456	8.62637748098618e-05
1036	0.000343896560603493	0.000136851697909229	-0.0002965536470792
1037	0.000265462499250323	0.000121957495426262	-0.000222104736216656
1038	0.00019750610523042	4.84281511784632e-05	-0.000260148225531632
1039	0.000219702200283907	-0.000342371241143231	-0.000514381689570498
104	0.0448365171132417	0.016692974170707	-0.0266476946812432
1040	8.09836302419228e-05	6.13997679708571e-05	2.48846430929198e-05
1041	0.000231857826576105	0.000148434394666346	0.000123307001626216
1042	0.000239174341751298	0.000157237187752515	0.000192335476095441
1043	0.000215155888395021	5.80877478987404e-05	-0.000135780230601912
1044	0.000114277930638426	2.26596287912726e-05	-9.01181131351303e-05
