"features"	"LV1"	"LV2"
1	0.00475903680497059	0.00293454247884638
10	0.000445790596740408	-0.000642550169291429
100	0.00248838862535955	0.00403897387909241
1000	0.00142865197096585	0.00104558386100472
1001	0.000639248032096113	0.000298741134323879
1002	0.000395101283131849	0.000301701344066852
1003	0.000960700577966361	0.000361488404939433
1004	0.00158396752716337	0.000667734119999089
1005	0.000232273868531729	0.000119347201546385
1006	0.000515051317488704	0.000213349498849505
1007	0.000114737981525687	4.55980768768287e-05
1008	5.397803563601e-05	5.19568631479817e-05
1009	0.000518818149587059	0.00022179508236139
101	0.00216435989827532	0.00374234157567869
1010	0.00156635512899009	0.0052132731762522
1011	0.000533668452878625	0.00034074447044378
1012	0.00163173199270925	0.000456158745569529
1013	0.00012589097261022	8.96370646328663e-05
1014	0.000367652814268367	0.000159189930884802
1015	0.00409212541516776	0.000752790380312006
1016	0.00237870255268502	0.000512082347569745
1017	0.000402556644606417	8.56587068966223e-05
1018	0.000246626071787833	-0.000103238233112818
1019	0.000715376931086802	0.000123471214046423
102	0.00754360580345706	0.0187844077371386
1020	0.000942154122588607	0.000104468595056673
1021	0.000396943719929171	8.80557762305616e-05
1022	0.000284126560057148	0.000132353473751236
1023	0.000546002465918683	0.000161809615937637
1024	0.000833663335176915	0.000511663381735911
1025	0.000262234829225618	0.000139888929774997
1026	0.000253814000495729	0.000299430833359208
1027	0.000136334954455164	0.000466753776466351
1028	0.000193060611957675	0.000129692585024857
1029	0.00055111611693282	0.000302571484233709
103	0.00318128817092037	0.00517716493829436
1030	0.000188117482215918	4.32553893401507e-05
1031	0.000255289782261151	-2.71020137245894e-05
1032	0.000821886835427728	0.000184266666123871
1033	0.000176249559675537	0.000333498783951603
1034	0.000549001968803346	0.00033584476703116
1035	0.00063427120568614	0.000388749246409277
1036	0.000670995430903128	0.000384063171701783
1037	0.000534451271797235	0.000295965799941494
1038	0.000409287213377067	0.000204473116771027
1039	0.000580816743917906	0.000160488681211191
104	0.02471685306968	0.0539038656504933
1040	0.000175188994140674	0.000105328924590138
1041	0.000515714953047655	0.000284191705233133
1042	0.000516648968197906	0.000295424149702689
1043	0.000197317955487674	0.000242033647238536
1044	0.000195837902265181	0.00012901953275588
1045	0.000176905219528061	0.000379925917293898
1046	0.0208114402610935	0.0513465775896429
1047	0.000914613639865568	0.000666053843517872
1048	0.000304011582013593	0.000217430934507967
1049	0.000890561942456032	0.000725470265677615
105	0.0265138556334496	0.0613094040133528
1050	0.000540130443720139	0.000346494171535744
1051	0.00690931430469748	0.0141915547610267
1052	0.000394220850829358	0.000104572366387672
1053	0.00742693203299577	0.0152306150564807
1054	0.000164394033399785	0.000165759996333158
1055	0.000143119735509782	0.000214898039482751
1056	0.00021392098010754	0.000433325291784458
1057	0.000285882591829413	0.000160074593260156
1058	0.000799262879408531	0.000345876735383881
1059	0.00040801540681581	0.000641200108114832
106	0.0042453339994591	0.00572126467803348
1060	0.000625905664187559	0.00208338430479065
1061	0.000405486361806529	0.000664389428416809
1062	0.0006205464467165	0.000310343081054423
1063	0.00984392926562353	0.0465010884829045
1064	0.000202874695777073	9.42492049235248e-05
1065	0.000369975483522026	0.000273307293278356
1066	0.00042758799603001	9.98272573942346e-05
1067	0.00112649023781616	-7.65190980112809e-05
1068	9.71516386521121e-05	0.000146798103507748
1069	0.00038600833996556	0.000214225222313279
107	0.0601880732040552	0.10659124845681
1070	0.000272204504651821	0.000795095952643646
1071	0.0242075935186598	0.0692204680776419
1072	0.000682610784423529	0.00182651681357534
1073	0.0269945927810999	0.0752010535820746
1074	0.000421509021463194	0.000205884030532782
1075	0.000256927996613118	0.00104324695240531
1076	0.000292935120384904	0.000891292946281414
1077	0.000251106772001635	0.000713626629843643
1078	0.000180181932306401	0.00022920652838222
1079	0.000169361329524747	9.74166318681965e-05
108	0.0984384220045671	0.171413910514767
1080	0.000368049253657452	8.28637994615028e-05
1081	0.000659195914816369	0.00136789149979615
1082	0.00030190166338943	0.000108950255385541
1083	0.000414989551902167	0.000226135375479729
1084	0.000142952037632233	8.16203486298003e-05
1085	0.000394004956222623	0.000941503113965644
1086	0.000258173453927549	4.91859780753687e-05
1087	0.000572683256907029	0.00106165726513854
1088	0.000104556843922271	0.000125089570332018
1089	9.2958528141304e-05	6.7602738769428e-05
109	0.0013987880562545	0.00316173879367889
1090	0.000133481876412949	0.000223639367516394
1091	0.000489385503764195	7.6656050688823e-05
1092	0.00048588199939936	0.00056979405282452
1093	0.00031100076456342	9.37806225454982e-05
1094	0.000609976700342804	0.000117434200101801
1095	0.000445359072321831	0.000260769606239399
1096	0.00065118663489035	0.000306286900949994
1097	0.000335512266142531	0.000172035100282885
1098	0.00171894035317118	0.000774672880241512
1099	0.000173003494669041	0.000259631838413686
11	0.000118964996980751	-0.000143724069284925
110	0.00123901591437312	-0.00416594174561807
1100	0.00176658043257785	0.000663439423000023
1101	3.97717671322395e-05	1.61586007492333e-05
1102	7.10075666997726e-05	4.19651623762477e-05
1103	0.000656587716467244	-0.000150943841515464
1104	0.000417298081431441	0.000363597319546686
1105	0.000266090388748286	0.000223345009550815
1106	0.00018404558037414	6.97530003451912e-05
1107	0.000535980291654203	0.000459262973052035
1108	0.000292403848409002	0.000328943781469789
1109	0.00046316221898882	0.000527920786957727
111	5.90012205851564e-05	-4.10904528131623e-05
1110	0.0002517115691333	0.000223283333908385
1111	0.000277482217442028	0.000315024878640573
1112	0.000199353893321554	0.000708243419782879
1113	0.00042970005945379	0.00016615514092733
1114	0.000580863807008469	0.000303901133735902
1115	0.00153345959084579	0.000167819879471874
1116	0.00107002790070763	0.000177994672972517
1117	0.000958825923957875	0.000152783140624107
1118	0.00556358630175261	0.000799969014368422
1119	0.00110814577679093	0.000233909552979305
112	0.00558234885580207	0.017523263755775
1120	0.000437714679743752	-6.37697777034031e-05
1121	0.000383214338392579	0.000412831380953465
1122	0.0016695448435836	0.000634382212574333
1123	0.00116835993156047	0.000491610281234926
1124	0.00104376820099682	0.000393072119077755
1125	0.0060845389242884	0.0023138721727475
1126	0.00121178125873216	0.000557653823592416
1127	0.000448516944297217	2.9586590289636e-05
1128	0.000200620323432534	-2.06424806793719e-05
1129	0.000363083653260957	0.000171131046470848
113	0.00170523622643127	0.00270743260549339
1130	0.000235091302734483	5.63792675873564e-05
1131	0.000408252694073701	7.29007794886885e-05
